index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
170,North America,Sint Maarten (Dutch part),2020-10-21,756.0,22.0,17629.775,513.036,42882.0,,36327.232,78.95
171,North America,Montserrat,2020-10-21,13.0,1.0,2600.52,200.04,4999.0,,,74.16
172,North America,Anguilla,2020-10-21,3.0,,199.97299999999998,,15002.0,,,81.88
173,North America,Cuba,2020-10-21,6305.0,127.0,556.653,11.213,11326616.0,43.1,,78.8
174,North America,Puerto Rico,2020-10-21,58643.0,769.0,20498.525,268.802,2860840.0,38.2,35044.67,80.1
175,North America,Saint Kitts and Nevis,2020-10-21,19.0,,357.19699999999995,,53192.0,,24654.385,76.23
176,North America,Saint Lucia,2020-10-21,36.0,,196.047,,183629.0,34.9,12951.839,76.2
177,North America,Saint Vincent and the Grenadines,2020-10-21,68.0,,612.905,,110947.0,31.8,10727.146,72.53
178,North America,Curacao,2020-10-21,759.0,1.0,4625.229,6.093999999999999,164100.0,41.7,,78.88
179,North America,United States,2020-10-21,8273304.0,221066.0,24994.676,667.868,331002647.0,38.3,54225.445999999996,78.86
180,North America,Canada,2020-10-21,203688.0,9794.0,5396.83,259.498,37742157.0,41.4,44017.59099999999,82.43
181,North America,British Virgin Islands,2020-10-21,72.0,1.0,2381.189,33.071999999999996,30237.0,,,79.07
182,North America,Cayman Islands,2020-10-21,235.0,1.0,3575.776,15.216,65720.0,,49903.029,83.92
183,North America,El Salvador,2020-10-21,31975.0,933.0,4929.696,143.844,6486201.0,27.6,7292.4580000000005,73.32
184,North America,Nicaragua,2020-10-21,5434.0,155.0,820.2819999999999,23.398000000000003,6624554.0,27.3,5321.444,74.48
185,Oceania,Northern Mariana Islands,2020-10-21,88.0,2.0,1528.9189999999999,34.748000000000005,57557.0,,,76.74
186,Oceania,French Polynesia,2020-10-21,4548.0,16.0,16190.585,56.958999999999996,280904.0,32.7,,77.66
